Backend,Gate Label,Qubit A,Qubit B,Lambda (1 - error rate)
ibm_sherbrooke,ecr41_40,41,40,0.9841888879251838
ibm_sherbrooke,ecr99_100,99,100,0.9905743313460558
ibm_sherbrooke,ecr78_77,78,77,0.9934884851882967
ibm_sherbrooke,ecr17_12,17,12,0.9962535963740646
ibm_sherbrooke,ecr8_9,8,9,0.9890814364477682
ibm_sherbrooke,ecr114_109,114,109,0.9956026032101504
ibm_sherbrooke,ecr17_30,17,30,0.9936788799565087
ibm_sherbrooke,ecr42_41,42,41,0.9867893418526581
ibm_sherbrooke,ecr18_19,18,19,0.9828628540404933
ibm_sherbrooke,ecr107_106,107,106,0.99119972798612
ibm_sherbrooke,ecr71_58,71,58,0.991586068682512
ibm_sherbrooke,ecr85_84,85,84,0.9911139704584738
ibm_sherbrooke,ecr26_16,26,16,0.9857987733356779
ibm_sherbrooke,ecr47_48,47,48,0.9959706163488947
ibm_sherbrooke,ecr35_28,35,28,0.9892877810386884
ibm_sherbrooke,ecr26_25,26,25,0.9958796006115873
ibm_sherbrooke,ecr107_108,107,108,0.9918561399780413
ibm_sherbrooke,ecr73_85,73,85,0.9904954172238437
ibm_sherbrooke,ecr77_76,77,76,0.9948478994643823
ibm_sherbrooke,ecr38_39,38,39,0.9912314990527382
ibm_sherbrooke,ecr20_33,20,33,0.9936363442931355
ibm_sherbrooke,ecr49_48,49,48,0.9953355706249384
ibm_sherbrooke,ecr80_81,80,81,0.9929038555718228
ibm_sherbrooke,ecr92_83,92,83,0.9828100809019477
ibm_sherbrooke,ecr75_76,75,76,0.9919116071806569
ibm_sherbrooke,ecr16_8,16,8,0.9891829328806974
ibm_sherbrooke,ecr52_37,52,37,0.9836465912472397
ibm_sherbrooke,ecr43_34,43,34,0.9904910129957172
ibm_sherbrooke,ecr105_104,105,104,0.993226031439062
ibm_sherbrooke,ecr81_82,81,82,0.9863165019196454
ibm_sherbrooke,ecr110_118,110,118,0.9952873818690786
ibm_sherbrooke,ecr90_94,90,94,0.988388439169042
ibm_sherbrooke,ecr12_13,12,13,0.9959592507902499
ibm_sherbrooke,ecr23_22,23,22,0.9845722531454864
ibm_sherbrooke,ecr74_70,74,70,0.9957813400987003
ibm_sherbrooke,ecr49_50,49,50,0.9942316626077861
ibm_sherbrooke,ecr114_115,114,115,0.9948745271546674
ibm_sherbrooke,ecr45_46,45,46,0.9800638119666993
ibm_sherbrooke,ecr98_91,98,91,0.9895660479641639
ibm_sherbrooke,ecr50_51,50,51,0.9947131006498368
ibm_sherbrooke,ecr82_83,82,83,0.9947138252459446
ibm_sherbrooke,ecr116_115,116,115,0.9919002159585057
ibm_sherbrooke,ecr23_24,23,24,0.978755318045865
ibm_sherbrooke,ecr78_79,78,79,0.9900864076783014
ibm_sherbrooke,ecr89_88,89,88,0.9932951805365037
ibm_sherbrooke,ecr83_84,83,84,0.99418740152843
ibm_sherbrooke,ecr19_20,19,20,0.9951682469636509
ibm_sherbrooke,ecr55_49,55,49,0.9918113167698634
ibm_sherbrooke,ecr25_24,25,24,0.995241435954501
ibm_sherbrooke,ecr56_57,56,57,0.0
ibm_sherbrooke,ecr93_106,93,106,0.9947298000969989
ibm_sherbrooke,ecr21_20,21,20,0.9914143993898925
ibm_sherbrooke,ecr41_53,41,53,0.9939247700974133
ibm_sherbrooke,ecr31_30,31,30,0.9850599621608775
ibm_sherbrooke,ecr86_85,86,85,0.9836568839928836
ibm_sherbrooke,ecr57_58,57,58,0.9066356208583668
ibm_sherbrooke,ecr109_96,109,96,0.9921303134359889
ibm_sherbrooke,ecr123_122,123,122,0.9897926188554573
ibm_sherbrooke,ecr64_54,64,54,0.994034395566824
ibm_sherbrooke,ecr73_66,73,66,0.9808226225027739
