Backend,Qubit A,Qubit B,Lambda
ibm_sherbrooke,41,40,0.9841888879251838
ibm_sherbrooke,99,100,0.9905743313460558
ibm_sherbrooke,78,77,0.9934884851882967
ibm_sherbrooke,17,12,0.9962535963740646
ibm_sherbrooke,8,9,0.9890814364477682
ibm_sherbrooke,114,109,0.9956026032101504
ibm_sherbrooke,17,30,0.9936788799565087
ibm_sherbrooke,42,41,0.9867893418526581
ibm_sherbrooke,18,19,0.9828628540404933
ibm_sherbrooke,107,106,0.99119972798612
ibm_sherbrooke,71,58,0.991586068682512
ibm_sherbrooke,85,84,0.9911139704584738
ibm_sherbrooke,26,16,0.9857987733356779
ibm_sherbrooke,47,48,0.9959706163488947
ibm_sherbrooke,35,28,0.9892877810386884
ibm_sherbrooke,26,25,0.9958796006115873
ibm_sherbrooke,107,108,0.9918561399780413
ibm_sherbrooke,73,85,0.9904954172238437
ibm_sherbrooke,77,76,0.9948478994643823
ibm_sherbrooke,38,39,0.9912314990527382
ibm_sherbrooke,20,33,0.9936363442931355
ibm_sherbrooke,49,48,0.9953355706249384
ibm_sherbrooke,80,81,0.9929038555718228
ibm_sherbrooke,92,83,0.9828100809019477
ibm_sherbrooke,75,76,0.9919116071806569
ibm_sherbrooke,16,8,0.9891829328806974
ibm_sherbrooke,52,37,0.9836465912472397
ibm_sherbrooke,43,34,0.9904910129957172
ibm_sherbrooke,105,104,0.993226031439062
ibm_sherbrooke,81,82,0.9863165019196454
ibm_sherbrooke,110,118,0.9952873818690786
ibm_sherbrooke,90,94,0.988388439169042
ibm_sherbrooke,12,13,0.9959592507902499
ibm_sherbrooke,23,22,0.9845722531454864
ibm_sherbrooke,74,70,0.9957813400987003
ibm_sherbrooke,49,50,0.9942316626077861
ibm_sherbrooke,114,115,0.9948745271546674
ibm_sherbrooke,45,46,0.9800638119666993
ibm_sherbrooke,98,91,0.9895660479641639
ibm_sherbrooke,50,51,0.9947131006498368
ibm_sherbrooke,82,83,0.9947138252459446
ibm_sherbrooke,116,115,0.9919002159585057
ibm_sherbrooke,23,24,0.978755318045865
ibm_sherbrooke,78,79,0.9900864076783014
ibm_sherbrooke,89,88,0.9932951805365037
ibm_sherbrooke,83,84,0.99418740152843
ibm_sherbrooke,19,20,0.9951682469636509
ibm_sherbrooke,55,49,0.9918113167698634
ibm_sherbrooke,25,24,0.995241435954501
ibm_sherbrooke,93,106,0.9947298000969989
